ID,Girls_max,Boys_max,Total
333-3332054,19,35,54
333-3332056,27,31,58
333-3332057,11,16,27
333-3332061,31,32,63
333-3332070,13,17,30
333-3332072,28,27,55
333-3332074,11,19,30
333-3332075,23,32,55
333-3332076,31,26,57
333-3332082,47,39,86
333-3332101,51,38,89
333-3332104,14,17,31
333-3332105,27,35,62
333-3332108,25,34,59
333-3332112,11,18,29
333-3332113,49,39,88
333-3332118,12,20,32
333-3332122,33,29,62
333-3332123,31,28,59
333-3332124,50,43,93
333-3332127,13,17,30
333-3332128,35,25,60
333-3332133,14,17,31
333-3332134,55,67,122
333-3332136,29,31,60
333-3332138,20,10,30
333-3332140,28,32,60
333-3332141,29,29,58
333-3332146,40,46,86
333-3332148,26,30,56
333-3332151,29,31,60
333-3332158,13,16,29
333-3332161,46,43,89
333-3332162,30,28,58
333-3332163,36,25,61
333-3332164,30,28,58
333-3332166,24,35,59
333-3332169,34,38,72
333-3332171,23,33,56
333-3332172,28,31,59
333-3332173,36,22,58
333-3332174,28,32,60
333-3332175,24,29,53
333-3332176,35,25,60
333-3332177,45,43,88
333-3332178,28,31,59
333-3332179,35,27,62
333-3332180,70,52,122
333-3332181,33,25,58
333-3332182,17,14,31
333-3332183,17,12,29
333-3332186,43,44,87
333-3332187,39,41,80
333-3332188,32,27,59
333-3332189,26,34,60
333-3333002,29,30,59
333-3333003,13,16,29
333-3333004,15,12,27
333-3333005,14,16,30
333-3333006,27,31,58
333-3333007,39,21,60
333-3333301,29,31,60
333-3333303,13,17,30
333-3333305,15,16,31
333-3333307,17,13,30
333-3333308,11,20,31
333-3333400,27,32,59
333-3333401,14,15,29
333-3333402,12,19,31
333-3333403,16,15,31
333-3333404,14,17,31
333-3333405,16,15,31
333-3333406,15,11,26
333-3333407,41,54,95
333-3333408,47,42,89
333-3333409,30,29,59
333-3337001,1,6,7
333-3337018,7,18,25
333-3337019,0,6,6
334-3341105,0,0,0
334-3342002,10,20,30
334-3342004,29,27,56
334-3342008,49,32,81
334-3342011,30,31,61
334-3342013,16,14,30
334-3342017,36,53,89
334-3342019,40,49,89
334-3342024,40,45,85
334-3342028,35,27,62
334-3342030,9,21,30
334-3342031,16,14,30
334-3342033,15,13,28
334-3342050,31,52,83
334-3342051,46,42,88
334-3342057,14,16,30
334-3342058,15,21,36
334-3342059,53,64,117
334-3342065,26,23,49
334-3342066,25,34,59
334-3342082,13,22,35
334-3342085,30,29,59
334-3342087,41,34,75
334-3342088,23,29,52
334-3342089,26,34,60
334-3342090,27,33,60
334-3342091,35,22,57
334-3342094,25,28,53
334-3342096,46,41,87
334-3342098,25,31,56
334-3343010,16,16,32
334-3343011,30,24,54
334-3343012,25,35,60
334-3343300,16,14,30
334-3343305,32,38,70
334-3343310,17,13,30
334-3343311,12,16,28
334-3343312,9,11,20
334-3343313,15,14,29
334-3343314,16,16,32
334-3343500,32,29,61
334-3343501,13,17,30
334-3343502,14,16,30
334-3343503,19,9,28
334-3343504,22,17,39
334-3343510,13,15,28
334-3343511,35,25,60
334-3343512,24,34,58
334-3343516,17,11,28
334-3343517,38,42,80
334-3345200,25,31,56
334-3347001,3,9,12
334-3347002,3,5,8
334-3347003,1,9,10
334-3347005,2,8,10
334-3347007,2,8,10
335-3351104,0,4,4
335-3352000,42,48,90
335-3352002,34,26,60
335-3352004,22,19,41
335-3352005,19,14,33
335-3352006,15,15,30
335-3352007,25,28,53
335-3352010,27,31,58
335-3352015,27,33,60
335-3352016,25,23,48
335-3352017,15,16,31
335-3352019,20,22,42
335-3352024,7,23,30
335-3352025,24,21,45
335-3352028,42,48,90
335-3352029,26,33,59
335-3352031,36,53,89
335-3352034,16,14,30
335-3352041,14,15,29
335-3352042,26,32,58
335-3352043,42,48,90
335-3352101,29,31,60
335-3352102,23,36,59
335-3352103,28,31,59
335-3352104,25,24,49
335-3352105,18,25,43
335-3352106,21,23,44
335-3352116,33,27,60
335-3352117,16,13,29
335-3352118,25,35,60
335-3352119,17,13,30
335-3352122,44,46,90
335-3352123,34,25,59
335-3352205,14,18,32
335-3352214,15,15,30
335-3352218,19,11,30
335-3352219,13,17,30
335-3352220,17,15,32
335-3352222,15,15,30
335-3352224,33,29,62
335-3352225,16,12,28
335-3352228,15,15,30
335-3352234,45,45,90
335-3352235,35,27,62
335-3352237,21,25,46
335-3352239,13,17,30
335-3352240,31,29,60
335-3352243,14,16,30
335-3352245,35,39,74
335-3352246,42,47,89
335-3352247,18,26,44
335-3352248,14,18,32
335-3352249,31,33,64
335-3352250,33,27,60
335-3353000,17,13,30
335-3353003,12,17,29
335-3353010,16,16,32
335-3353100,22,25,47
335-3353102,24,21,45
335-3353110,22,22,44
335-3353111,21,25,46
335-3353300,45,46,91
335-3353302,21,9,30
335-3353304,14,18,32
335-3353306,13,16,29
335-3353310,14,14,28
335-3353312,21,16,37
335-3353322,13,18,31
335-3353323,16,14,30
335-3353324,12,19,31
335-3353325,8,19,27
335-3353327,15,15,30
335-3353329,27,34,61
335-3353805,23,21,44
335-3354001,36,23,59
335-3355201,56,47,103
335-3355202,19,23,42
335-3355203,36,46,82
335-3356000,0,0,0
335-3356010,0,0,0
335-3357002,0,6,6
335-3357004,2,7,9
335-3357007,2,8,10
335-3357011,1,6,7
335-3357013,0,11,11
336-3361102,0,0,0
336-3361105,0,2,2
336-3362003,17,15,32
336-3362006,29,27,56
336-3362007,17,13,30
336-3362008,21,10,31
336-3362009,25,32,57
336-3362012,15,15,30
336-3362015,32,32,64
336-3362017,15,17,32
336-3362019,26,30,56
336-3362022,26,30,56
336-3362029,17,17,34
336-3362030,17,15,32
336-3362031,16,11,27
336-3362032,33,31,64
336-3362033,26,16,42
336-3362034,35,24,59
336-3362040,46,43,89
336-3362042,30,28,58
336-3362043,17,16,33
336-3362046,33,45,78
336-3362049,31,30,61
336-3362051,16,14,30
336-3362053,18,11,29
336-3362054,40,39,79
336-3362057,27,20,47
336-3362058,18,12,30
336-3362065,15,15,30
336-3362066,25,37,62
336-3362069,30,31,61
336-3362071,19,26,45
336-3362072,38,23,61
336-3362073,13,13,26
336-3362074,17,13,30
336-3362075,30,25,55
336-3362079,48,49,97
336-3362089,15,16,31
336-3362102,24,32,56
336-3362103,29,28,57
336-3362105,31,27,58
336-3362106,30,29,59
336-3362109,41,15,56
336-3362111,22,17,39
336-3362112,37,52,89
336-3362115,30,29,59
336-3362116,20,14,34
336-3362117,26,30,56
336-3362118,26,33,59
336-3363008,25,22,47
336-3363010,13,16,29
336-3363016,15,14,29
336-3363017,11,5,16
336-3363019,30,30,60
336-3363022,18,13,31
336-3363024,23,34,57
336-3363025,27,32,59
336-3363301,26,33,59
336-3363302,11,17,28
336-3363303,24,20,44
336-3363304,27,29,56
336-3363307,10,15,25
336-3363309,12,19,31
336-3363310,14,13,27
336-3363311,10,20,30
336-3363312,12,18,30
336-3363314,15,15,30
336-3363315,16,11,27
336-3363316,13,10,23
336-3363317,45,47,92
336-3363318,13,16,29
336-3366000,43,32,75
336-3366015,0,0,0
336-3367000,1,4,5
336-3367004,2,8,10
336-3367005,6,7,13
336-3367007,2,17,19
336-3367008,2,10,12
336-3367012,1,5,6
340-3401100,0,0,0
340-3402000,8,20,28
340-3402001,16,15,31
340-3402002,20,8,28
340-3402003,23,22,45
340-3402006,17,11,28
340-3402007,13,13,26
340-3402010,31,29,60
340-3402012,24,29,53
340-3402013,34,26,60
340-3402015,23,34,57
340-3402017,16,10,26
340-3402018,12,20,32
340-3402021,24,13,37
340-3402035,7,5,12
340-3402039,32,41,73
340-3402048,10,20,30
340-3402050,19,13,32
340-3402051,16,12,28
340-3403000,18,16,34
340-3403300,16,13,29
340-3403301,13,17,30
340-3403302,24,36,60
340-3403304,10,12,22
340-3403306,10,9,19
340-3403307,13,16,29
340-3403314,13,17,30
340-3403315,10,20,30
340-3403316,26,24,50
340-3403318,22,7,29
340-3403319,17,17,34
340-3403322,16,23,39
340-3403325,8,17,25
340-3403326,17,21,38
340-3403327,11,13,24
340-3403328,14,16,30
340-3403340,18,12,30
340-3403344,10,10,20
340-3403350,14,9,23
340-3403352,12,17,29
340-3403353,16,20,36
340-3403356,21,19,40
340-3403357,15,15,30
340-3403359,59,60,119
340-3403360,21,21,42
340-3403361,16,14,30
340-3403362,12,20,32
340-3403363,20,16,36
340-3403364,36,29,65
340-3403365,17,13,30
340-3407005,0,0,0
340-3407015,1,10,11
341-3412001,11,16,27
341-3412004,30,29,59
341-3412006,30,30,60
341-3412007,27,30,57
341-3412008,24,19,43
341-3412009,41,43,84
341-3412010,31,27,58
341-3412011,24,37,61
341-3412014,15,9,24
341-3412017,48,43,91
341-3412018,30,34,64
341-3412019,44,45,89
341-3412020,0,0,0
341-3412025,58,56,114
341-3412030,15,14,29
341-3412034,40,47,87
341-3412036,42,48,90
341-3412037,44,40,84
341-3412039,20,30,50
341-3412063,26,35,61
341-3412065,17,19,36
341-3412084,20,11,31
341-3412086,14,20,34
341-3412092,24,28,52
341-3412098,14,16,30
341-3412110,30,30,60
341-3412113,27,17,44
341-3412123,15,14,29
341-3412128,15,18,33
341-3412130,16,18,34
341-3412166,17,15,32
341-3412170,14,25,39
341-3412176,21,18,39
341-3412180,43,48,91
341-3412199,16,3,19
341-3412214,16,34,50
341-3412215,15,17,32
341-3412216,23,20,43
341-3412218,10,7,17
341-3412221,30,29,59
341-3412222,27,11,38
341-3412223,28,35,63
341-3412226,12,17,29
341-3412227,16,14,30
341-3412229,27,18,45
341-3412230,31,26,57
341-3412232,11,13,24
341-3412233,23,37,60
341-3412234,28,24,52
341-3412235,24,37,61
341-3412236,24,26,50
341-3412237,25,35,60
341-3412238,17,24,41
341-3412239,17,9,26
341-3412240,31,30,61
341-3412241,24,20,44
341-3412242,30,29,59
341-3413001,10,15,25
341-3413011,14,15,29
341-3413015,11,11,22
341-3413020,16,12,28
341-3413021,28,32,60
341-3413022,23,35,58
341-3413023,35,20,55
341-3413024,23,26,49
341-3413025,15,16,31
341-3413026,8,18,26
341-3413302,17,13,30
341-3413306,15,16,31
341-3413310,20,34,54
341-3413327,22,12,34
341-3413329,33,27,60
341-3413507,19,29,48
341-3413511,16,14,30
341-3413512,13,12,25
341-3413513,22,23,45
341-3413514,15,15,30
341-3413516,33,24,57
341-3413523,17,23,40
341-3413527,12,16,28
341-3413528,12,14,26
341-3413541,31,28,59
341-3413543,36,23,59
341-3413547,26,33,59
341-3413548,21,9,30
341-3413550,13,13,26
341-3413551,14,14,28
341-3413552,49,53,102
341-3413558,13,17,30
341-3413571,28,26,54
341-3413573,14,9,23
341-3413582,19,10,29
341-3413584,62,65,127
341-3413588,17,13,30
341-3413594,18,16,34
341-3413599,10,13,23
341-3413601,16,14,30
341-3413631,16,14,30
341-3413633,13,14,27
341-3413635,25,27,52
341-3413644,15,17,32
341-3413956,24,36,60
341-3413960,13,12,25
341-3413961,26,23,49
341-3413963,29,18,47
341-3413964,16,9,25
341-3413965,26,16,42
341-3413966,10,18,28
341-3413967,34,28,62
341-3414004,19,35,54
341-3415200,34,27,61
341-3416004,0,0,0
341-3416034,0,0,0
341-3416039,0,0,0
341-3416046,0,0,0
341-3416082,0,0,0
341-3417018,0,0,0
341-3417023,0,1,1
341-3417025,0,19,19
341-3417045,1,15,16
341-3417052,0,0,0
341-3417054,5,11,16
341-3417059,0,0,0
341-3417063,8,15,23
341-3417065,0,10,10
341-3417069,0,0,0
341-3417070,1,2,3
342-3420611,0,0,0
342-3421100,0,0,0
342-3422001,29,27,56
342-3422007,15,15,30
342-3422008,15,14,29
342-3422010,41,39,80
342-3422012,10,19,29
342-3422019,32,28,60
342-3422020,15,15,30
342-3422021,14,16,30
342-3422022,17,13,30
342-3422051,36,25,61
342-3422053,15,15,30
342-3422056,33,35,68
342-3422058,17,13,30
342-3422059,14,16,30
342-3422061,18,13,31
342-3422062,26,12,38
342-3422063,14,14,28
342-3422064,14,13,27
342-3422065,34,32,66
342-3422066,24,25,49
342-3422068,14,15,29
342-3422070,24,37,61
342-3422071,30,30,60
342-3422072,20,9,29
342-3423106,29,28,57
342-3423109,14,21,35
342-3423205,28,15,43
342-3423206,22,22,44
342-3423207,29,27,56
342-3423208,23,26,49
342-3423304,12,18,30
342-3423310,16,14,30
342-3423320,13,6,19
342-3423321,19,12,31
342-3423324,25,35,60
342-3423328,16,16,32
342-3423404,15,11,26
342-3423414,29,17,46
342-3423415,16,14,30
342-3423420,12,18,30
342-3423430,18,12,30
342-3423432,12,18,30
342-3423434,16,14,30
342-3423450,17,13,30
342-3423451,9,7,16
342-3423452,33,12,45
342-3423453,38,22,60
342-3423455,25,22,47
342-3423456,17,18,35
342-3423457,13,18,31
342-3423501,15,15,30
342-3423827,15,13,28
342-3423828,16,25,41
342-3426004,0,0,0
342-3427005,0,1,1
342-3427008,3,19,22
342-3427009,0,4,4
343-3431101,0,1,1
343-3432008,11,7,18
343-3432013,8,22,30
343-3432023,16,26,42
343-3432030,35,25,60
343-3432032,63,57,120
343-3432034,54,63,117
343-3432036,25,39,64
343-3432038,31,29,60
343-3432047,16,14,30
343-3432048,26,34,60
343-3432050,31,29,60
343-3432053,6,10,16
343-3432054,23,36,59
343-3432056,48,45,93
343-3432060,21,10,31
343-3432063,11,9,20
343-3432066,24,22,46
343-3432067,26,17,43
343-3432075,25,21,46
343-3432076,16,12,28
343-3432078,15,19,34
343-3432080,14,16,30
343-3432086,14,12,26
343-3432087,16,8,24
343-3432088,19,24,43
343-3432089,7,21,28
343-3432090,14,10,24
343-3432091,19,11,30
343-3432092,22,19,41
343-3432093,28,28,56
343-3433000,17,26,43
343-3433010,11,13,24
343-3433020,21,16,37
343-3433024,28,33,61
343-3433025,20,10,30
343-3433303,18,11,29
343-3433304,16,14,30
343-3433305,14,13,27
343-3433307,14,16,30
343-3433313,27,33,60
343-3433316,18,12,30
343-3433322,12,15,27
343-3433336,19,11,30
343-3433337,43,39,82
343-3433339,24,25,49
343-3433341,13,17,30
343-3433342,9,15,24
343-3433343,14,17,31
343-3433345,15,15,30
343-3433351,17,13,30
343-3433353,33,59,92
343-3433354,7,8,15
343-3433355,22,21,43
343-3433357,16,12,28
343-3433359,19,13,32
343-3433361,27,34,61
343-3433362,21,33,54
343-3433364,14,16,30
343-3433366,5,13,18
343-3433367,18,13,31
343-3433368,28,32,60
343-3433369,12,19,31
343-3433374,28,30,58
343-3433375,17,12,29
343-3433376,11,19,30
343-3433378,27,28,55
343-3433379,7,17,24
343-3433380,15,16,31
343-3433382,14,16,30
343-3433383,14,14,28
343-3433384,23,21,44
343-3433385,19,19,38
343-3436134,0,0,0
343-3437006,2,5,7
343-3437011,0,3,3
343-3437013,2,6,8
343-3437014,0,1,1
344-3442000,24,25,49
344-3442001,18,25,43
344-3442021,19,26,45
344-3442048,26,33,59
344-3442100,38,46,84
344-3442101,24,24,48
344-3442102,47,41,88
344-3442104,65,50,115
344-3442107,7,16,23
344-3442108,4,12,16
344-3442110,28,35,63
344-3442111,34,45,79
344-3442112,15,17,32
344-3442115,6,14,20
344-3442116,10,8,18
344-3442117,19,27,46
344-3442118,25,26,51
344-3442200,27,19,46
344-3442201,7,18,25
344-3442203,42,44,86
344-3442205,20,15,35
344-3442210,26,36,62
344-3442212,17,8,25
344-3442214,17,8,25
344-3442215,18,14,32
344-3442217,23,37,60
344-3442221,16,18,34
344-3442224,16,18,34
344-3442225,25,38,63
344-3442227,13,20,33
344-3442229,21,19,40
344-3442231,22,30,52
344-3442232,31,24,55
344-3442234,29,31,60
344-3442238,15,16,31
344-3442244,24,25,49
344-3442249,14,8,22
344-3442250,18,17,35
344-3442252,12,22,34
344-3442254,5,10,15
344-3442255,31,25,56
344-3442258,33,12,45
344-3442260,28,39,67
344-3442261,17,12,29
344-3442263,9,11,20
344-3442264,10,16,26
344-3442266,24,20,44
344-3442268,17,15,32
344-3442270,39,52,91
344-3442274,16,12,28
344-3442275,30,35,65
344-3442278,31,34,65
344-3442279,12,10,22
344-3443009,43,22,65
344-3443010,21,10,31
344-3443011,12,13,25
344-3443300,15,18,33
344-3443304,17,11,28
344-3443321,26,18,44
344-3443322,11,7,18
344-3443324,9,7,16
344-3443330,23,19,42
344-3443331,26,31,57
344-3443333,13,19,32
344-3443335,31,22,53
344-3443337,26,22,48
344-3443350,17,14,31
344-3443351,13,18,31
344-3443352,21,27,48
344-3443360,25,36,61
344-3443361,21,39,60
344-3443363,14,15,29
344-3443364,37,24,61
344-3443365,21,17,38
344-3443366,16,11,27
344-3443367,24,35,59
344-3443368,11,16,27
344-3443369,12,16,28
344-3443371,14,16,30
344-3443372,14,15,29
344-3443373,30,19,49
344-3443374,22,37,59
344-3443375,12,6,18
344-3443376,16,15,31
344-3446005,0,0,0
344-3446905,56,0,56
344-3447000,3,20,23
344-3447005,2,10,12
344-3447010,1,8,9
344-3447015,0,1,1
344-3447017,7,14,21
344-3447020,3,9,12
344-3447215,0,0,0
350-3501109,0,4,4
350-3502000,32,29,61
350-3502001,17,35,52
350-3502002,24,36,60
350-3502003,17,15,32
350-3502004,18,12,30
350-3502005,19,11,30
350-3502007,11,9,20
350-3502008,34,26,60
350-3502009,0,0,0
350-3502010,31,30,61
350-3502013,25,36,61
350-3502014,27,25,52
350-3502016,29,31,60
350-3502017,13,19,32
350-3502018,36,24,60
350-3502019,20,25,45
350-3502020,28,34,62
350-3502022,26,33,59
350-3502024,12,20,32
350-3502025,30,33,63
350-3502028,28,32,60
350-3502035,23,22,45
350-3502036,25,33,58
350-3502038,31,28,59
350-3502039,17,12,29
350-3502040,17,15,32
350-3502041,14,16,30
350-3502042,15,15,30
350-3502043,9,21,30
350-3502051,25,13,38
350-3502053,21,9,30
350-3502056,33,27,60
350-3502060,8,22,30
350-3502061,18,13,31
350-3502062,20,40,60
350-3502064,29,32,61
350-3502065,26,17,43
350-3502066,32,28,60
350-3502067,20,9,29
350-3502068,13,17,30
350-3502071,19,22,41
350-3502072,10,17,27
350-3502073,15,16,31
350-3502075,14,18,32
350-3502078,16,15,31
350-3502079,5,16,21
350-3502081,34,26,60
350-3502083,14,20,34
350-3502084,14,16,30
350-3502085,24,20,44
350-3502086,15,15,30
350-3503000,25,35,60
350-3503007,29,31,60
350-3503009,13,18,31
350-3503016,15,25,40
350-3503021,25,31,56
350-3503023,11,24,35
350-3503025,27,34,61
350-3503302,39,23,62
350-3503304,29,31,60
350-3503306,17,12,29
350-3503314,26,19,45
350-3503315,17,10,27
350-3503316,12,18,30
350-3503317,33,27,60
350-3503319,15,15,30
350-3503320,19,10,29
350-3503328,13,16,29
350-3503331,17,13,30
350-3503335,13,19,32
350-3503336,11,20,31
350-3503337,18,13,31
350-3503340,18,14,32
350-3503341,20,26,46
350-3503344,29,29,58
350-3503345,15,16,31
350-3503348,17,14,31
350-3503349,18,11,29
350-3503351,14,16,30
350-3503352,27,33,60
350-3503354,17,13,30
350-3503355,11,15,26
350-3503356,15,17,32
350-3503359,28,33,61
350-3503360,16,14,30
350-3503362,16,15,31
350-3503363,14,16,30
350-3503364,12,12,24
350-3503365,11,20,31
350-3503366,13,18,31
350-3503367,16,16,32
350-3503368,37,51,88
350-3503369,19,21,40
350-3503370,32,28,60
350-3503371,26,25,51
350-3503373,21,38,59
350-3506906,35,25,60
350-3507000,2,17,19
350-3507002,4,5,9
350-3507007,2,2,4
350-3507008,5,9,14
351-3511102,0,0,0
351-3512001,27,14,41
351-3512002,19,23,42
351-3512003,20,28,48
351-3512006,20,15,35
351-3512009,12,18,30
351-3512012,16,20,36
351-3512013,15,20,35
351-3512014,23,23,46
351-3512015,27,18,45
351-3512019,14,15,29
351-3512020,18,16,34
351-3512025,16,15,31
351-3512027,30,28,58
351-3512029,17,9,26
351-3512030,13,17,30
351-3512032,14,22,36
351-3512033,33,30,63
351-3512035,21,24,45
351-3512036,13,19,32
351-3512037,34,26,60
351-3512038,29,28,57
351-3512039,25,14,39
351-3512041,14,11,25
351-3512042,25,21,46
351-3512045,15,25,40
351-3512046,14,17,31
351-3512047,21,29,50
351-3512048,17,18,35
351-3512050,12,19,31
351-3513006,13,17,30
351-3513009,18,32,50
351-3513015,13,21,34
351-3513016,20,16,36
351-3513017,12,18,30
351-3513018,16,17,33
351-3513019,5,8,13
351-3513022,16,25,41
351-3513028,25,16,41
351-3513302,9,21,30
351-3513303,13,19,32
351-3513320,15,18,33
351-3513324,13,17,30
351-3513326,21,22,43
351-3513328,12,19,31
351-3513330,11,4,15
351-3513332,6,10,16
351-3513333,22,15,37
351-3513334,16,15,31
351-3513335,12,19,31
351-3513336,26,20,46
351-3513337,28,28,56
351-3513341,22,24,46
351-3513343,9,21,30
351-3513344,10,12,22
351-3513346,15,14,29
351-3513348,12,14,26
351-3513349,16,6,22
351-3513350,28,33,61
351-3513351,16,17,33
351-3513352,20,19,39
351-3513353,35,39,74
351-3515200,5,7,12
351-3515201,53,57,110
351-3517010,0,0,0
352-3521102,2,6,8
352-3522001,14,16,30
352-3522002,51,38,89
352-3522004,49,40,89
352-3522005,33,29,62
352-3522006,27,33,60
352-3522007,13,17,30
352-3522008,25,15,40
352-3522009,28,26,54
352-3522010,28,32,60
352-3522012,54,65,119
352-3522013,40,35,75
352-3522014,12,15,27
352-3522015,44,47,91
352-3522016,20,36,56
352-3522017,31,57,88
352-3522018,30,29,59
352-3522019,22,30,52
352-3522020,46,44,90
352-3522022,14,16,30
352-3522023,13,18,31
352-3522024,28,24,52
352-3522025,32,26,58
352-3522036,18,12,30
352-3522037,12,15,27
352-3522038,15,13,28
352-3522039,35,26,61
352-3522040,30,31,61
352-3522042,0,0,0
352-3522043,19,23,42
352-3522048,28,32,60
352-3522057,41,45,86
352-3522058,42,47,89
352-3522060,24,35,59
352-3522068,44,42,86
352-3522073,26,34,60
352-3522075,26,32,58
352-3522076,17,15,32
352-3522079,31,29,60
352-3522113,30,32,62
352-3522129,38,52,90
352-3522141,34,26,60
352-3522142,44,44,88
352-3522161,28,32,60
352-3522164,20,25,45
352-3522165,31,29,60
352-3522182,40,44,84
352-3522184,48,28,76
352-3522186,13,16,29
352-3522216,31,30,61
352-3522232,21,26,47
352-3522234,25,34,59
352-3522247,16,14,30
352-3522249,25,35,60
352-3522278,26,34,60
352-3522288,17,13,30
352-3522296,37,21,58
352-3522298,38,43,81
352-3522300,16,14,30
352-3522301,25,31,56
352-3522302,35,26,61
352-3522303,20,38,58
352-3522305,32,28,60
352-3522321,14,15,29
352-3522323,34,23,57
352-3522324,30,30,60
352-3522325,19,26,45
352-3522326,27,37,64
352-3522327,28,31,59
352-3522328,44,46,90
352-3522329,37,23,60
352-3522330,38,52,90
352-3522332,45,46,91
352-3522338,23,28,51
352-3522340,24,26,50
352-3522341,30,24,54
352-3523003,13,18,31
352-3523005,15,14,29
352-3523011,16,16,32
352-3523015,29,33,62
352-3523022,35,45,80
352-3523028,27,32,59
352-3523034,11,19,30
352-3523039,19,27,46
352-3523040,48,43,91
352-3523041,31,29,60
352-3523042,15,16,31
352-3523043,28,28,56
352-3523044,35,26,61
352-3523045,31,20,51
352-3523301,16,16,32
352-3523305,13,16,29
352-3523310,36,23,59
352-3523316,14,16,30
352-3523325,15,11,26
352-3523402,34,22,56
352-3523408,12,13,25
352-3523415,10,16,26
352-3523418,15,15,30
352-3523422,38,22,60
352-3523424,42,37,79
352-3523429,14,16,30
352-3523432,27,31,58
352-3523434,14,15,29
352-3523439,13,33,46
352-3523440,18,12,30
352-3523445,16,15,31
352-3523446,12,19,31
352-3523448,22,22,44
352-3523452,18,10,28
352-3523455,22,23,45
352-3523457,17,28,45
352-3523460,12,17,29
352-3523464,17,12,29
352-3523465,17,11,28
352-3523469,9,18,27
352-3523472,12,18,30
352-3523473,19,23,42
352-3523474,18,12,30
352-3523475,14,15,29
352-3523482,28,32,60
352-3523484,14,17,31
352-3523489,27,28,55
352-3523490,19,11,30
352-3523491,14,14,28
352-3523494,13,16,29
352-3523500,20,17,37
352-3523501,28,31,59
352-3523503,31,29,60
352-3523504,14,16,30
352-3523505,22,7,29
352-3523506,21,39,60
352-3523507,22,35,57
352-3523508,28,22,50
352-3524271,28,33,61
352-3525200,29,28,57
352-3526041,0,0,0
352-3526907,31,29,60
352-3527007,0,0,0
352-3527014,0,0,0
352-3527023,7,17,24
352-3527029,3,5,8
352-3527041,5,24,29
352-3527042,0,0,0
352-3527055,5,24,29
352-3527056,0,0,0
352-3527749,6,14,20
353-3531100,0,0,0
353-3531101,4,12,16
353-3532000,41,48,89
353-3532002,15,14,29
353-3532003,21,10,31
353-3532007,29,37,66
353-3532008,28,31,59
353-3532009,34,36,70
353-3532010,17,13,30
353-3532013,23,21,44
353-3532014,20,10,30
353-3532016,31,29,60
353-3532017,24,15,39
353-3532018,34,27,61
353-3532020,15,14,29
353-3532022,15,15,30
353-3532023,12,17,29
353-3532033,25,21,46
353-3532034,15,15,30
353-3532044,20,25,45
353-3532052,33,29,62
353-3532054,13,17,30
353-3532058,17,12,29
353-3532062,26,33,59
353-3532064,16,15,31
353-3532065,13,17,30
353-3532069,21,11,32
353-3532071,13,8,21
353-3532075,14,14,28
353-3532076,9,6,15
353-3532077,19,12,31
353-3532079,21,8,29
353-3532080,49,41,90
353-3532085,15,14,29
353-3532091,15,14,29
353-3532093,17,13,30
353-3532095,24,25,49
353-3532097,30,35,65
353-3532098,13,19,32
353-3532099,29,31,60
353-3532109,24,32,56
353-3532110,15,16,31
353-3532111,22,23,45
353-3532112,32,28,60
353-3532113,46,44,90
353-3533005,9,10,19
353-3533007,19,12,31
353-3533008,24,16,40
353-3533009,22,8,30
353-3533010,10,20,30
353-3533011,9,4,13
353-3533012,19,20,39
353-3533303,18,14,32
353-3533315,32,29,61
353-3533325,18,10,28
353-3533326,9,6,15
353-3533328,15,14,29
353-3533329,27,30,57
353-3533330,17,19,36
353-3533333,20,20,40
353-3533341,16,24,40
353-3533342,18,14,32
353-3533344,26,34,60
353-3533345,15,17,32
353-3533346,20,11,31
353-3533347,18,22,40
353-3533351,13,16,29
353-3533353,12,26,38
353-3533355,18,12,30
353-3533358,20,22,42
353-3533359,14,16,30
353-3533362,19,16,35
353-3533363,37,26,63
353-3533364,22,20,42
353-3533366,15,15,30
353-3533393,31,28,59
353-3533400,7,21,28
353-3533401,10,20,30
353-3533402,14,16,30
353-3533403,29,31,60
353-3533503,21,14,35
353-3533504,34,26,60
353-3533506,42,49,91
353-3533507,19,25,44
353-3533508,37,31,68
353-3533509,26,34,60
353-3536017,0,0,0
353-3537012,1,7,8
353-3537013,8,21,29
354-3541100,1,1,2
354-3542000,17,13,30
354-3542001,35,24,59
354-3542002,19,23,42
354-3542003,30,30,60
354-3542005,30,31,61
354-3542006,36,25,61
354-3542007,21,24,45
354-3542009,44,46,90
354-3542010,15,15,30
354-3542015,31,29,60
354-3542018,35,24,59
354-3542021,32,27,59
354-3542024,49,42,91
354-3542025,25,36,61
354-3542027,14,15,29
354-3542028,26,21,47
354-3542029,28,30,58
354-3542032,13,16,29
354-3542036,28,30,58
354-3542039,32,28,60
354-3542041,12,17,29
354-3542043,12,19,31
354-3542044,22,18,40
354-3542047,26,32,58
354-3542048,16,12,28
354-3542061,24,25,49
354-3542062,11,15,26
354-3542063,21,23,44
354-3542064,15,15,30
354-3542065,25,19,44
354-3543002,24,25,49
354-3543003,31,28,59
354-3543004,15,14,29
354-3543006,14,17,31
354-3543007,4,8,12
354-3543009,32,14,46
354-3543011,11,19,30
354-3543013,12,9,21
354-3543014,18,12,30
354-3543016,14,15,29
354-3543305,10,20,30
354-3543306,18,17,35
354-3543307,15,15,30
354-3543310,12,19,31
354-3543311,11,19,30
354-3543312,40,24,64
354-3543314,12,16,28
354-3543319,25,20,45
354-3543321,22,38,60
354-3543322,14,16,30
354-3543323,17,13,30
354-3543325,14,9,23
354-3543500,13,19,32
