ID,Girls_max,Boys_max,Total
206-2063483,31,23,54
206-2063488,16,14,30
206-2063495,14,16,30
206-2063501,17,11,28
206-2063527,14,11,25
206-2063575,17,12,29
206-2063606,16,14,30
206-2063631,31,28,59
206-2063633,26,18,44
206-2063643,15,11,26
206-2063644,26,26,52
206-2066905,15,15,30
206-2067001,0,0,0
206-2067002,2,5,7
206-2067030,3,1,4
206-2067031,1,11,12
206-2067146,5,3,8
207-2071100,0,0,0
207-2072000,22,30,52
207-2072001,0,0,0
207-2072021,12,18,30
207-2072030,33,17,50
207-2072050,18,26,44
207-2072060,33,26,59
207-2072121,29,20,49
207-2072229,21,29,50
207-2072399,23,31,54
207-2072452,28,30,58
207-2072456,12,15,27
207-2072538,25,30,55
207-2072594,14,16,30
207-2073321,18,12,30
207-2073356,9,13,22
207-2073379,13,17,30
207-2073402,15,15,30
207-2073417,17,12,29
207-2073437,20,15,35
207-2073455,14,12,26
207-2073477,15,14,29
207-2073504,18,10,28
207-2073541,11,11,22
207-2073542,12,28,40
207-2073613,11,18,29
207-2075200,11,18,29
207-2075201,17,27,44
207-2077164,3,3,6
207-2077165,0,0,0
208-2081102,0,4,4
208-2082022,15,14,29
208-2082115,34,26,60
208-2082265,47,37,84
208-2082292,23,32,55
208-2082295,57,60,117
208-2082331,25,21,46
208-2082332,15,18,33
208-2082359,61,50,111
208-2082371,27,34,61
208-2082459,18,12,30
208-2082504,20,21,41
208-2082575,27,15,42
208-2082578,43,42,85
208-2082591,25,28,53
208-2082617,11,14,25
208-2082626,10,14,24
208-2082657,21,36,57
208-2082664,34,37,71
208-2082783,21,39,60
208-2082785,38,36,74
208-2082794,27,26,53
208-2082808,28,27,55
208-2082836,19,26,45
208-2082868,11,19,30
208-2082895,15,14,29
208-2082897,24,22,46
208-2082898,23,34,57
208-2082899,39,50,89
208-2082900,43,45,88
208-2082901,26,19,45
208-2082902,43,42,85
208-2082903,24,28,52
208-2082905,26,34,60
208-2083000,21,34,55
208-2083307,26,32,58
208-2083324,15,9,24
208-2083329,19,11,30
208-2083375,12,13,25
208-2083403,13,15,28
208-2083457,7,11,18
208-2083466,11,14,25
208-2083491,12,13,25
208-2083493,18,12,30
208-2083499,12,15,27
208-2083502,20,9,29
208-2083589,9,18,27
208-2083596,12,17,29
208-2083621,32,25,57
208-2083641,11,26,37
208-2083642,9,16,25
208-2083643,17,13,30
208-2085200,25,26,51
208-2085201,32,25,57
208-2085202,25,29,54
208-2085204,43,44,87
208-2085205,27,26,53
208-2085206,12,17,29
208-2085207,61,53,114
208-2085208,25,19,44
208-2085209,39,47,86
208-2085402,32,24,56
208-2085950,1,6,7
208-2086384,0,0,0
208-2087115,0,0,0
208-2087194,5,13,18
209-2092000,33,37,70
209-2092001,33,27,60
209-2092002,31,27,58
209-2092023,20,34,54
209-2092029,15,15,30
209-2092068,33,26,59
209-2092108,31,29,60
209-2092127,52,37,89
209-2092148,34,25,59
209-2092158,44,37,81
209-2092163,36,18,54
209-2092187,24,32,56
209-2092197,24,29,53
209-2092225,32,25,57
209-2092259,43,46,89
209-2092267,19,12,31
209-2092289,35,39,74
209-2092304,47,42,89
209-2092307,26,30,56
209-2092342,27,27,54
209-2092347,44,41,85
209-2092349,25,33,58
209-2092374,30,26,56
